t,shareI,Tl,Tc,Tr,G,rB,Gap,B
108,0.462,0.0807,0.0645598168463469,0.022869,0.07,-1.27723281396263,-1.32962363080898,-48.2619853772485
109,0.4506,0.08241,0.0646748605270512,0.0223047,0.07,-1.3125240760467,-1.36730423657376,-49.5916090080575
110,0.45,0.0825,0.0646809154576145,0.022275,0.07,-1.34868427571267,-1.40359019117029,-50.9589132446312
111,0.4514,0.08229,0.0646667872863,0.0223443,0.07,-1.3858692302013,-1.4404817174876,-52.3625034358015
112,0.4438,0.08343,0.0647434830734362,0.0219681,0.07,-1.42404101083597,-1.48024639390941,-53.8029851532891
113,0.4414,0.08379,0.0647677027956897,0.0218493,0.07,-1.4632160866338,-1.51992448942949,-55.2832315471985
114,0.4504,0.08244,0.064676878837239,0.0222948,0.07,-1.50347259525649,-1.55829467409373,-56.803156036628
115,0.4502,0.08247,0.0646788971474268,0.0222849,0.07,-1.54480818206577,-1.5996721792132,-58.3614507107217
116,0.4558,0.08163,0.0646223844621685,0.0225621,0.07,-1.5871872773586,-1.64087756182076,-59.9611228899349
117,0.456,0.0816,0.0646203661519807,0.022572,0.07,-1.63069166766885,-1.68434003382083,-61.6020004517557
118,0.4516,0.08226,0.0646647689761122,0.0223542,0.07,-1.67531667198435,-1.72988724096046,-63.2863404855765
119,0.4488,0.08268,0.0646930253187413,0.0222156,0.07,-1.72112367369302,-1.77628109901176,-65.016227726537
120,0.4526,0.08211,0.0646546774251732,0.0224037,0.07,-1.76816936886819,-1.82253034629336,-66.7925088255487
121,0.446,0.0831,0.0647212816613704,0.022077,0.07,-1.81647678287231,-1.87222106453368,-68.6150391718421
122,0.4394,0.08409,0.0647878858975676,0.0217503,0.07,-1.86604198289749,-1.92316956879506,-70.4872602363758
123,0.4462,0.08307,0.0647192633511826,0.0220869,0.07,-1.91695856255484,-1.97266092590602,-72.4104298051708
124,0.4558,0.08163,0.0646223844621685,0.0225621,0.07,-1.96926072836159,-2.02295101282376,-74.3830907310768
125,0.4446,0.08331,0.064735409832685,0.0220077,0.07,-2.0229088520119,-2.07894656184459,-76.4060417439006
126,0.4382,0.08427,0.0647999957586944,0.0216909,0.07,-2.07792465561467,-2.13530375137336,-78.4849883057452
127,0.4388,0.08418,0.064793940828131,0.0217206,0.07,-2.13446330386766,-2.19171664469579,-80.6202920571185
128,0.4434,0.08349,0.0647475196938117,0.0219483,0.07,-2.19253463187962,-2.24882385157343,-82.8120087018143
129,0.4456,0.08316,0.064725318281746,0.0220572,0.07,-2.25214015456066,-2.3079682728424,-85.0608325533878
130,0.4406,0.08391,0.0647757760364408,0.0218097,0.07,-2.3132987543345,-2.37017483037094,-87.3688008262302
131,0.4384,0.08424,0.0647979774485066,0.0217008,0.07,-2.37606583490897,-2.43340301235747,-89.7389756566011
132,0.4468,0.08298,0.0647132084206192,0.0221166,0.07,-2.44052467357847,-2.49610128199909,-92.1723786689586
133,0.454,0.0819,0.0646405492538587,0.022473,0.07,-2.50670305425382,-2.56077060350768,-94.6684799509577
134,0.4528,0.08208,0.0646526591149854,0.0224136,0.07,-2.57458656553637,-2.62890562465136,-97.2292505544654
135,0.4532,0.08202,0.0646486224946098,0.0224334,0.07,-2.64422881179011,-2.69846403428472,-99.8581561791167
136,0.4526,0.08211,0.0646546774251732,0.0224037,0.07,-2.71572404554475,-2.77008502296992,-102.556620213401
137,0.4436,0.08346,0.0647455013836239,0.0219582,0.07,-2.78911097701182,-2.84535827839544,-105.326705236371
138,0.4478,0.08283,0.0647031168696803,0.0221661,0.07,-2.86444569971177,-2.91981271658145,-108.172063514767
